monetary_code	rate_as_float	date_as_iso
GBP	36214.5384	2021-09-05T15:53:00+00:00
EUR	42253.0648	2021-09-05T15:53:00+00:00
USD	50196.7645	2021-09-05T15:58:00+00:00
GBP	36203.9646	2021-09-05T15:58:00+00:00
EUR	42240.7279	2021-09-05T15:58:00+00:00
USD	50226.5532	2021-09-05T16:03:00+00:00
GBP	36225.4494	2021-09-05T16:03:00+00:00
EUR	42265.7952	2021-09-05T16:03:00+00:00
USD	50225.7565	2021-09-05T16:08:00+00:00
GBP	36224.8749	2021-09-05T16:08:00+00:00
EUR	42265.1248	2021-09-05T16:08:00+00:00
USD	50171.3636	2021-09-05T16:13:00+00:00
GBP	36185.6444	2021-09-05T16:13:00+00:00
EUR	42219.353	2021-09-05T16:13:00+00:00
USD	50151.5838	2021-09-05T16:18:00+00:00
GBP	36171.3785	2021-09-05T16:18:00+00:00
EUR	42202.7083	2021-09-05T16:18:00+00:00
USD	50193.0681	2021-09-05T16:23:00+00:00
GBP	36201.2986	2021-09-05T16:23:00+00:00
EUR	42237.6174	2021-09-05T16:23:00+00:00
USD	50245.865	2021-09-05T16:28:00+00:00
GBP	36239.3779	2021-09-05T16:28:00+00:00
EUR	42282.0461	2021-09-05T16:28:00+00:00
USD	50269.7521	2021-09-05T16:33:00+00:00
GBP	36256.6063	2021-09-05T16:33:00+00:00
EUR	42302.1472	2021-09-05T16:33:00+00:00
USD	50345.6873	2021-09-05T16:38:00+00:00
GBP	36311.3738	2021-09-05T16:38:00+00:00
EUR	42366.0469	2021-09-05T16:38:00+00:00
USD	50309.0059	2021-09-05T16:43:00+00:00
GBP	36284.9177	2021-09-05T16:43:00+00:00
EUR	42335.1794	2021-09-05T16:43:00+00:00
USD	50317.591	2021-09-05T16:48:00+00:00
GBP	36291.1097	2021-09-05T16:48:00+00:00
EUR	42342.4038	2021-09-05T16:48:00+00:00
USD	50368.8312	2021-09-05T16:53:00+00:00
GBP	36328.0662	2021-09-05T16:53:00+00:00
EUR	42385.5225	2021-09-05T16:53:00+00:00
USD	50407.0106	2021-09-05T16:58:00+00:00
GBP	36355.6027	2021-09-05T16:58:00+00:00
EUR	42417.6506	2021-09-05T16:58:00+00:00
USD	50420.6624	2021-09-05T17:03:00+00:00
GBP	36365.449	2021-09-05T17:03:00+00:00
EUR	42429.1387	2021-09-05T17:03:00+00:00
